Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Dumbbell Step Up,,https://vimeo.com/487929204,https://i.vimeocdn.com/video/1009803074_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home Only,Glutes,Reps,Duration,Reps
Dumbbell Squats,,https://vimeo.com/487929196,https://i.vimeocdn.com/video/1009803071_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Quadriceps,Reps,Weight,Weight
Dumbbell Jumping Squat,,https://vimeo.com/487929188,https://i.vimeocdn.com/video/1009803048_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Quadriceps,Reps,Weight,Weight
Dumbbell Pull Over,,https://vimeo.com/487929155,https://i.vimeocdn.com/video/1009802971_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Chest,Reps,Weight,Weight
Incline Dumbbell Flies,,https://vimeo.com/487929140,https://i.vimeocdn.com/video/1009803147_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Chest,Reps,Weight,Weight
Incline Dumbbell Press,,https://vimeo.com/487929133,https://i.vimeocdn.com/video/1009803084_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Chest,Reps,Weight,Weight
Hammer Curl,,https://vimeo.com/487929121,https://i.vimeocdn.com/video/1009802973_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Biceps,Reps,Weight,Weight
Dumbbell Chest Press,,https://vimeo.com/487929107,https://i.vimeocdn.com/video/1009802920_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Chest,Reps,Weight,Weight
Incline Dumbbell Flies,,https://vimeo.com/487929098,https://i.vimeocdn.com/video/1009802959_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Chest,Reps,Weight,Weight
Dumbbell Flat Bench Press,,https://vimeo.com/487929077,https://i.vimeocdn.com/video/1009802997_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Chest,Reps,Weight,Weight
DeadBug Extension,,https://vimeo.com/487929069,https://i.vimeocdn.com/video/1009802936_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Warm Up Lower,Reps,Weight,Weight
Machine Chest Press,,https://vimeo.com/487929041,https://i.vimeocdn.com/video/1009802817_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Chest,Reps,Weight,Weight
Tricep Overhead Extension (Rope),,https://vimeo.com/487929026,https://i.vimeocdn.com/video/1009802911_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Triceps,Reps,Weight,Weight
Glute Kickback (Cable),,https://vimeo.com/487929022,https://i.vimeocdn.com/video/1009802780_1080x1920.jpg?r=pad,No,Women,P1,Beginner,Gym Only,Glutes,Reps,Weight,Weight
Cable Chest Fly,,https://vimeo.com/487929014,https://i.vimeocdn.com/video/1009802760_1080x1920.jpg?r=pad,No,Anyone,P2,Beginner,Gym Only,Chest,Reps,Weight,Weight
Butt Kicks (2),,https://vimeo.com/487929000,https://i.vimeocdn.com/video/1009802771_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Circuit Cardio,Duration,,Duration
Bulgarian Split Squat (Quad Dominant),,https://vimeo.com/487928992,https://i.vimeocdn.com/video/1009802775_1080x1920.jpg?r=pad,No,Women,P1,Beginner,Home and Gym,Quadriceps,Reps,Weight,Weight
