Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Cable Pullthrough,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/137,https://vimeo.com/487929035,https://i.vimeocdn.com/video/1009802770_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
C Crunch,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/108,https://vimeo.com/487929007,https://i.vimeocdn.com/video/1009802919_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Burpee,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/158,https://vimeo.com/487928995,https://i.vimeocdn.com/video/1009802773_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Broad Jump Jog Back,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/112,https://vimeo.com/487928978,https://i.vimeocdn.com/video/1009802769_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Bodyweight Squat,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/113,https://vimeo.com/487928974,https://i.vimeocdn.com/video/1009802726_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Birddog,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/114,https://vimeo.com/487928972,https://i.vimeocdn.com/video/1009802762_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Leg Lowers,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/61,https://vimeo.com/487928968,https://i.vimeocdn.com/video/1009802730_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Bear Crawl,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/117,https://vimeo.com/487928949,https://i.vimeocdn.com/video/1009802735_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Basic Crunch,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/118,https://vimeo.com/487928939,https://i.vimeocdn.com/video/1009802729_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Barbell Upright Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/119,https://vimeo.com/487928937,https://i.vimeocdn.com/video/1009802745_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Squat,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/120,https://vimeo.com/487928930,https://i.vimeocdn.com/video/1009802697_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Shrug,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/154,https://vimeo.com/487928919,https://i.vimeocdn.com/video/1009802667_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Shoulder Press,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/123,https://vimeo.com/487928915,https://i.vimeocdn.com/video/1009802752_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Deadlift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/125,https://vimeo.com/487928900,https://i.vimeocdn.com/video/1009802581_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Bicep Curl,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/126,https://vimeo.com/487928895,https://i.vimeocdn.com/video/1009802670_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Barbell Bent Over Row,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/127,https://vimeo.com/487928894,https://i.vimeocdn.com/video/1009802560_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Banded Fire Hydrant,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/141,https://vimeo.com/487928873,https://i.vimeocdn.com/video/1009802539_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Ball Leg Curl,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/131,https://vimeo.com/487928870,https://i.vimeocdn.com/video/1009802604_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
